host_identifier	num_users	num_android_users	num_ios_users
doubleclick.net	25	10	15
google-analytics.com	25	10	15
googlesyndication.com	25	10	15
admob.com	23	10	13
scorecardresearch.com	23	10	13
2mdn.net	22	9	13
atdmt.com	20	9	11
flurry.com	20	8	12
imrworldwide.com	20	9	11
2o7.net	19	8	11
googleadservices.com	19	9	10
chartbeat.com	18	6	12
chartbeat.net	18	7	11
quantserve.com	18	7	11
bluekai.com	17	7	10
adnxs.com	16	7	9
mydas.mobi	16	8	8
yieldmanager.com	16	6	10
advertising.com	15	6	9
revsci.net	15	6	9
turn.com	15	6	9
admarvel.com	14	7	7
exelator.com	14	5	9
voicefive.com	14	5	9
casalemedia.com	13	5	8
jumptap.com	13	6	7
pubmatic.com	13	5	8
rubiconproject.com	13	6	7
serving-sys.com	13	6	7
adadvisor.net	12	5	7
admeld.com	12	5	7
atwola.com	12	5	7
contextweb.com	12	5	7
crwdcntrl.net	12	4	8
exponential.com	12	3	9
media6degrees.com	12	5	7
mookie1.com	12	5	7
pointroll.com	12	5	7
tribalfusion.com	12	3	9
wordpress.com	12	5	7
adtechus.com	11	5	6
afy11.net	11	4	7
appads.com	11	6	5
bizographics.com	11	5	6
zedo.com	11	4	7
krxd.net	10	4	6
mediaplex.com	10	4	6
adbrite.com	9	5	4
fastclick.net	9	3	6
mixpanel.com	9	4	5
mocean.mobi	9	4	5
questionmarket.com	9	4	5
rlcdn.com	9	5	4
ru4.com	9	5	4
sync.adap.tv	9	3	6
tacoda.net	9	3	6
yimg.com	9	3	6
aol.com	8	3	5
fmpub.net	8	3	5
inmobi.com	8	4	4
insightexpressai.com	8	3	5
mopub.com	8	4	4
realmedia.com	8	3	5
webtrendslive.com	8	5	3
yahoo.com	8	4	4
adsonar.com	7	1	6
adwhirl.com	7	4	3
burstnet.com	7	4	3
getclicky.com	7	3	4
intellitxt.com	7	3	4
localytics.com	7	3	4
nexage.com	7	3	4
specificclick.net	7	3	4
statcounter.com	7	2	5
collective-media.net	6	3	3
flashtalking.com	6	3	3
lucidmedia.com	6	4	2
newsinc.com	6	1	5
rovio.com	6	4	2
undertone.com	6	3	3
visualrevenue.com	6	1	5
360yield.com	5	3	2
adblade.com	5	2	3
compete.com	5	2	3
edgesuite.net	5	2	3
greystripe.com	5	3	2
kissmetrics.com	5	3	2
mdotm.com	5	3	2
netshelter.net	5	2	3
sitemeter.com	5	3	2
smartadserver.com	5	2	3
xiti.com	5	3	2
adfonic.net	4	2	2
assoc-amazon.com	4	2	2
buysellads.com	4	1	3
coremetrics.com	4	1	3
interclick.com	4	1	3
liverail.com	4	1	3
mobclix.com	4	1	3
nwsource.com	4	1	3
optmd.com	4	1	3
overture.com	4	1	3
pro-market.net	4	3	1
segments.adap.tv	4	2	2
tubemogul.com	4	2	2
adjuggler.com	3	2	1
adsymptotic.com	3	1	2
adzerk.net	3	2	1
bluelithium.com	3	1	2
chartboost.com	3	1	2
chitika.net	3	1	2
espn.go.com	3	1	2
fimserve.com	3	2	1
kanoodle.com	3	1	2
kontera.com	3	2	1
mojiva.com	3	1	2
picadmedia.com	3	2	1
projectwonderful.com	3	1	2
pulse360.com	3	1	2
scanscout.com	3	1	2
yldmgrimg.net	3	1	2
adjug.com	2	1	1
adsbyisocket.com	2	1	1
adserver.adtech.de	2	1	1
adshuffle.com	2	1	1
aka-cdn-ns.adtech.de	2	1	1
astatic.weborama.fr	2	1	1
e-planning.net	2	1	1
estat.com	2	1	1
eyereturn.com	2	1	1
forbes.com	2	1	1
foxnews.com	2	1	1
lfstmedia.com	2	1	1
mgid.com	2	1	1
mmismm.com	2	1	1
msads.net	2	1	1
msn.com	2	1	1
openx.org	2	1	1
solution.weborama.fr	2	1	1
wdtinc.com	2	1	1
whos.amung.us	2	1	1
yieldmanager.net	2	1	1
z5x.net	2	1	1
