user_id	median	median_cell	median_wifi	user_name	operating_system_name	device_type
24	600.004627895355	518.364228105545	702.761474037171	uw101-droid	Android	phn
32	620.418202018739	0	620.418202018739	shen-ios	iOS	phn
18	629.260200023651	1108.39788012505	633.214964103699	e007dba768	iOS	phn
3	634.246406030655	0	634.246406030655	will-ipad	iOS	tab
1	640.106871986389	1006.60050196648	761.137560129166	dave-iphone	iOS	phn
12	647.346139907837	1105.819383955	647.949891853333	5a1cd42eff	iOS	phn
5	678.594912052155	1212.98287005425	591.681633806229	arao-ipod	iOS	tab
8	679.484802150726	0	681.476548051834	arnaud-iphone	iOS	phn
31	742.940089941025	1885.17541604042	718.576197957993	331767035e	iOS	phn
10	900.976598024368	963.168083906174	900.975972032547	parikshan-droid	Android	tab
25	902.457849979401	0	902.457849979401	d2628b24f6	iOS	phn
4	943.787190198898	1179.4065179348	905.076813936234	dave-droid	Android	phn
27	958.740190029144	1206.34137392044	957.339442062378	dcce6372e4	Android	phn
29	979.036140108109	0	979.036140108109	cf6ba20782	Android	phn
7	998.888829946518	0	998.888829946518	arvind-iphone	iOS	phn
6	1172.81961393356	1680.61504797935	917.746969985962	arao-droid	Android	phn
19	1180.57473592758	0	1180.57473592758	f67a6dc4b5	iOS	tab
13	1183.29166002274	1324.08524990082	969.598408031464	05c2c53df8	Android	phn
2	1221.12360401154	1189.46854991913	1221.76227002144	dave-ipad	iOS	tab
11	1252.49133987427	1278.49954190254	907.334580039978	will-droid	Android	phn
28	1411.79380197525	1681.94828605652	903.555044031143	4187a11259	Android	phn
16	1680.54373002052	1680.93318996429	1680.33351807594	1bb03d7910	Android	phn
30	1861.66454386711	0	1861.66454386711	516de0e1bd	iOS	tab
15	2389.09568805695	0	2389.09568805695	38b8bc378a	iOS	phn
35	2413.85333213806	NA	2413.85333213806	dave-iphone-3gs	iOS	phn
