A	 -> 	188.130.133.200.51413-10.11.3.3.6881_UDP
B	 -> 	190.49.98.235.51413-10.11.3.3.6881_UDP
C	 -> 	24.143.98.211.51413-10.11.3.3.34762
D	 -> 	37.59.39.125.55999-10.11.3.3.47596
E	 -> 	5.17.131.94.15244-10.11.3.3.6881_UDP
F	 -> 	62.75.208.31.51413-10.11.3.3.59805
G	 -> 	65.49.70.244.55555-10.11.3.3.47084
H	 -> 	67.205.15.74.6955-10.11.3.3.44163
I	 -> 	79.227.188.17.51413-10.11.3.3.6881_UDP
J	 -> 	79.50.246.40.25515-10.11.3.3.6881_UDP
K	 -> 	95.154.93.4.51413-10.11.3.3.6881_UDP
L	 -> 	95.190.4.130.51413-10.11.3.3.6881_UDP
